,ID,X,Y,Q_R_4_0_0,Q_R_4_0_1,Q_R_4_0_2,Q_R_4_0_3,Q_R_4_0_4,Q_R_4_0_5,Q_R_4_0_6,Q_R_4_0_7,Q_R_4_0_8,Q_R_4_0_9,Q_R_4_1_0,Q_G_3_0_0,Q_G_3_0_1,Q_G_3_0_2,Q_G_3_0_3,Q_G_3_0_4,Q_G_3_0_5,Q_G_3_0_6,Q_G_3_0_7,Q_G_3_0_8,Q_G_3_0_9,Q_G_3_1_0,Q_B_2_0_0,Q_B_2_0_1,Q_B_2_0_2,Q_B_2_0_3,Q_B_2_0_4,Q_B_2_0_5,Q_B_2_0_6,Q_B_2_0_7,Q_B_2_0_8,Q_B_2_0_9,Q_B_2_1_0,Q_NIR_8_0_0,Q_NIR_8_0_1,Q_NIR_8_0_2,Q_NIR_8_0_3,Q_NIR_8_0_4,Q_NIR_8_0_5,Q_NIR_8_0_6,Q_NIR_8_0_7,Q_NIR_8_0_8,Q_NIR_8_0_9,Q_NIR_8_1_0,AREA,GEOM_R1,GEOM_R2,GEOM_R3,GEOM_R4,CONTRUCTIONYEAR,MAXBUILDINGFLOOR,CADASTRALQUALITYID,CLASE
59424,D31AAA27A9F595C0,2261461388,165303578,4.5096442136127703e-07,562.000457763672,720.999755859375,822.001953125,913.001220703125,1024.99908447266,1164.00024414062,1337.00036621094,1588.9982910156198,1993.9922485351601,6722.50095385848,5.37648065801477e-06,496.000427246094,609.9998779296881,693.002105712891,777.0000610351559,874.999664306641,992.0001831054691,1143.99871826172,1361.9990234375,1738.99920654297,5915.66497534188,154.000503540039,375.00003051757795,416.000091552734,465.500839233398,523.9998779296881,587.9998779296881,671.9996337890619,813.000122070312,968.0006713867191,1177.00018310547,2213.21232427985,0.0019845503848046103,1163.99615478516,1367.00134277344,1516.00213623047,1645.00134277344,1780.99987792969,1932.9958496093802,2095.0,2309.99926757812,2650.99829101562,6604.0241435548,74.964450006898,0.47326041667306795,0.0833333333268656,0.0757575757575089,0.9090909091606629,1991,1.0,7,AGRICULTURE
59918,B742660D3FF5534D,2266194534,165694949,3.7285301459632996e-06,586.999841308594,709.999108886719,811.999890136719,927.0016723632809,1052.9990234375,1231.99916992187,1502.00693359375,1872.9985595703101,2570.99916992187,10116.0790518951,0.0010692253708839401,504.999649047852,614.997973632813,709.000128173828,805.796057128907,908.999603271484,1054.00100097656,1277.99456787109,1600.00405273437,2180.00012207031,9534.47056519607,132.000106811523,358.999938964844,435.999816894531,491.00003356933604,546.9998046875,608.000061035156,697.000134277344,807.999847412109,1006.9994873046901,1451.3000610351598,5894.87334687503,0.000439458410255611,1223.0007202148402,1461.9990234375,1642.00075683594,1814.99479980469,1986.0021972656198,2190.00380859375,2463.00021972656,2825.58989257813,3238.99943847656,10029.5842548446,299.995099991542,0.38878580856084793,0.0512557662742931,0.0252844500631814,0.493299620727017,1962,1.0,5,AGRICULTURE
60229,43096B2FFA9D6352,2280300432,165496432,0.000898039841558784,466.000686645508,598.000061035156,697.002105712891,785.0023803710941,863.994110107422,945.0000610351559,1034.50122070312,1138.00048828125,1330.99963378906,11419.7422392608,1.1674524103000301e-05,393.999160766602,489.99710083007795,569.999969482422,642.998962402344,709.9999389648441,768.000122070312,828.000213623047,919.999389648438,1083.00042724609,9200.56641369877,0.000263214111328125,229.000068664551,276.000152587891,313.000030517578,344.00021362304705,377.999908447266,408.0,444.999847412109,503.000152587891,591.0,1678.6795155945001,1.1638253454293599e-05,995.007965087891,1216.99206542969,1352.00079345703,1472.00305175781,1585.9997558593802,1705.00048828125,1862.9950561523399,2080.99340820312,2398.99353027344,10955.7643469246,115.184199996281,0.894747144952389,0.11481056258452302,0.067658998646692,0.589309878147157,1980,6.0,3,AGRICULTURE
60683,9020EBFA78918DF7,2207858050,165981955,3.29639283336292e-06,551.998461914063,731.999133300781,879.998620605469,1020.00018310547,1158.99682617188,1289.99477539062,1422.99887695313,1599.99938964844,1848.9985839843803,3777.0637688411703,0.0014612635131925301,526.699676513672,657.0023071289061,749.9995727539059,829.9993286132809,910.001312255859,993.999267578125,1083.99936523438,1209.99816894531,1417.00235595703,3801.8074100663102,86.000732421875,366.999847412109,419.99996948242205,455.99978942871104,487.999877929688,518.999938964844,549.0,583.000244140625,638.9998779296881,734.0005676269529,1649.06010216924,49.0032615661621,1462.99910888672,1748.0019287109399,1918.9987915039103,2062.998828125,2208.00048828125,2358.00053710937,2532.99794921875,2747.00341796875,3034.99829101562,5510.00284687546,163.488350001692,0.39456277881269003,0.0250752256771014,0.09624639076021699,3.8383060635066895,1960,1.0,6,AGRICULTURE
60741,BC023D60D4C42AC6,2225940856,166342758,1.28385736388736e-05,293.999182128906,353.00034790039103,405.000064086914,456.003723144531,507.000411987305,560.0,618.001452636719,685.9996459960939,791.996606445313,3133.75145514217,0.0004997329087927941,360.999685668945,416.00003051757795,460.000854492188,500.0009765625,537.999755859375,579.998974609375,624.000244140625,675.000671386719,749.0,3267.43973237606,89.0003128051758,199.000030517578,218.000030517578,234.999969482422,249.00001525878898,265.000091552734,282.00006103515597,298.0,313.000030517578,339.00006103515597,1003.37439622437,248.008193969727,1493.00021972656,1737.00402832031,1922.99140625,2075.00307617187,2223.00256347656,2376.99311523438,2567.99814453125,2833.59599609375,3493.29243164062,6404.747373447281,119.74694998801701,0.5926564653440269,0.0801282051432736,0.0617665225447721,0.7708462012137941,1900,1.0,11,AGRICULTURE
60931,E6702C5F2686B9C8,2206557903,166008133,3.29639283336292e-06,551.998461914063,731.999133300781,879.998620605469,1020.00018310547,1158.99682617188,1289.99477539062,1422.99887695313,1599.99938964844,1848.9985839843803,3777.0637688411703,0.0014612635131925301,526.699676513672,657.0023071289061,749.9995727539059,829.9993286132809,910.001312255859,993.999267578125,1083.99936523438,1209.99816894531,1417.00235595703,3801.8074100663102,86.000732421875,366.999847412109,419.99996948242205,455.99978942871104,487.999877929688,518.999938964844,549.0,583.000244140625,638.9998779296881,734.0005676269529,1649.06010216924,49.0032615661621,1462.99910888672,1748.0019287109399,1918.9987915039103,2062.998828125,2208.00048828125,2358.00053710937,2532.99794921875,2747.00341796875,3034.99829101562,5510.00284687546,3029.5499500138103,0.0615555899919412,0.00353194645569312,0.005752746936663639,1.6287752401769298,1970,1.0,5,AGRICULTURE
60959,12AA31BDC588491E,2242707949,165545304,0.0,466.70005187988295,601.001062011719,719.0013671875,846.001220703125,983.999176025391,1124.99819335937,1294.99899902344,1504.0023925781197,1898.0009765625,13919.5355474221,2.0635090858256397e-11,466.99947509765605,599.000476074219,689.0000671386721,762.001318359375,844.001342773438,943.997717285156,1062.0041625976598,1226.5997558593801,1528.99840087891,15572.504558788702,35.0003433227539,356.99977722168,443.000164794922,499.000061035156,543.0001220703119,580.0001220703119,618.999938964844,666.9999938964839,732.999768066406,874.000366210938,2493.9944612866198,2.15595377994759e-06,984.698388671875,1295.4033935546902,1544.00179443359,1758.99763183594,1969.49670410156,2222.00209960937,2525.00493164062,2917.00014648437,3464.00327148438,15408.684860449499,558.995300011469,0.24916386766555,0.0173792144586513,0.0256476019492239,1.47576301623095,2006,8.0,4,AGRICULTURE
61065,F21BF0A4B8DC7709,2204834467,166050694,1.22203277896915e-06,180.000178527832,266.000402832031,444.997711181641,616.999975585937,763.9989624023441,911.997326660156,1105.00389404297,1356.00100097656,1756.99874267578,5314.71836445323,0.000769052770920098,271.000091552734,339.999792480469,460.99954528808604,591.999328613281,707.9992065429691,829.998364257812,963.999481201172,1131.60383300781,1380.00205078125,5426.66496046935,31.0011806488037,126.99993896484399,223.99991455078097,346.000183105469,408.000085449219,454.99967956543,503.0,559.000061035156,646.000183105469,768.999755859375,2364.7477701611397,0.0025969776324927803,1328.00703125,1572.0095214843802,1749.0002563476598,1911.99919433594,2096.50012207031,2304.000390625,2544.01110839844,2830.99545898438,3211.0043457031297,5319.24158482485,180.347400016105,0.0191951767327641,0.0065776491481428605,0.0161812297734506,2.46003236247698,1975,1.0,6,AGRICULTURE
61205,CC841B07A498A190,2279931970,165603908,2.69027421867518e-11,536.503234863281,716.0022583007809,844.9978637695309,952.001708984375,1080.00122070312,1220.00756835938,1377.0109863281198,1585.0021972656198,1911.9966430664101,5745.11358591312,4.66978008262231e-06,478.000885009766,622.0015869140619,708.998901367188,790.0,875.999298095703,969.000854492188,1086.00189208984,1253.998046875,1532.9992675781198,6034.20901357428,187.000045776367,437.99996948242205,498.000061035156,548.999816894531,587.0,621.0001220703119,657.999816894531,706.999969482422,781.99951171875,892.000946044922,1752.4167530090601,6.262016540858889e-07,964.9994506835941,1222.99670410156,1410.99896240234,1579.9968261718802,1735.99694824219,1890.00158691406,2071.99792480469,2305.0009765625,2702.99560546875,5962.3248851566,80.3416574942147,0.361965314037755,0.0822131787739671,0.0548005260849861,0.666566199023298,1990,1.0,5,AGRICULTURE
61496,A05203F87CC74F32,2206168140,165983803,3.29639283336292e-06,551.998461914063,731.999133300781,879.998620605469,1020.00018310547,1158.99682617188,1289.99477539062,1422.99887695313,1599.99938964844,1848.9985839843803,3777.0637688411703,0.0014612635131925301,526.699676513672,657.0023071289061,749.9995727539059,829.9993286132809,910.001312255859,993.999267578125,1083.99936523438,1209.99816894531,1417.00235595703,3801.8074100663102,86.000732421875,366.999847412109,419.99996948242205,455.99978942871104,487.999877929688,518.999938964844,549.0,583.000244140625,638.9998779296881,734.0005676269529,1649.06010216924,49.0032615661621,1462.99910888672,1748.0019287109399,1918.9987915039103,2062.998828125,2208.00048828125,2358.00053710937,2532.99794921875,2747.00341796875,3034.99829101562,5510.00284687546,346.949500012868,0.13906906366108,0.0270562770569861,0.014814814814802001,0.547555555540734,1970,1.0,4,AGRICULTURE
